447 451 zł,2 pokoje,50.4 m²,https://www.otodom.pl/pl/oferta/apartamenty-lisciasta-mieszkanie-2-pok-64-ID4xiih,Apartamenty Liściasta | mieszkanie 2-pok. | 64,"ul. Liściasta, Julianów, Bałuty, Łódź, łódzkie"
od 9900 zł/m²,4 kwartał 2026,2-4 pokoje,https://www.otodom.pl/pl/oferta/apartamenty-balonowa-ID4vgn6,Apartamenty Balonowa,"ul. Balonowa, Retkinia, Polesie, Łódź, łódzkie"
299 000 zł,1 pokój,38 m²,https://www.otodom.pl/pl/oferta/przestronna-kawalerka-37-86-m2-z-klimatyzacja-ID4xUMI,"Przestronna Kawalerka 37,86 m2 z klimatyzacją !!!","Stare Chojny, Górna, Łódź, łódzkie"
948 000 zł,3 pokoje,120 m²,https://www.otodom.pl/pl/oferta/sprzedam-wyjatkowy-apartament-w-kamienicy-120-m2-ID4z0jN,Sprzedam wyjątkowy apartament w kamienicy 120 m2.,"ul. Cmentarna, Stare Polesie, Polesie, Łódź, łódzkie"
od 9800 zł/m²,3 kwartał 2026,1-5 pokoi,https://www.otodom.pl/pl/oferta/lipowa-43-ID4wgRo,Lipowa 43,"ul. 6 Sierpnia, Stare Polesie, Polesie, Łódź, łódzkie"
479 000 zł,3 pokoje,51.15 m²,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-51m2-ogrodek-bez-prowizji-ID4uuB9,3-pokojowe mieszkanie 51m2 + ogródek Bez Prowizji,"ul. Pabianicka, Ruda Pabianicka, Górna, Łódź, łódzkie"
573 500 zł,1 pokój,31 m²,https://www.otodom.pl/pl/oferta/epickie-mieszkanie-w-centrum-lodzi-juz-wynajete-na-najem-krotkoter-wy-ID4zcge,Epickie mieszkanie w centrum Łodzi już wynajęte na najem krótkoter-wy,"ul. Prezydenta Franklina Delano Roosevelta, Centrum, Śródmieście, Łódź, łódzkie"
699 000 zł,3 pokoje,71 m²,https://www.otodom.pl/pl/oferta/osiedle-listopadowa-park-ID4z6Hb,Osiedle Listopadowa Park,"ul. Listopadowa, Stoki, Widzew, Łódź, łódzkie"
Zapytaj o cenę,2 pokoje,40.87 m²,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-loggia-ID4ulaT,2-pokojowe mieszkanie 40m2 + loggia,"ul. Williama Lindleya, Fabryczna, Śródmieście, Łódź, łódzkie"
397 600 zł,2 pokoje,48 m²,https://www.otodom.pl/pl/oferta/2-pokoje-48-m2-plus-antresola-6-m-po-generalnym-remoncie-ID4z4vO,"2 pokoje , 48 m2 plus antresola 6 m, po generalnym remoncie,","ul. Wólczańska, Centrum, Śródmieście, Łódź, łódzkie"
