price,n_rooms,area,price_per_m2,link,title,address,district
2600,2,44.5,58.0,https://www.otodom.pl/pl/oferta/2-pokoje-taras-komorka-45-m2-ul-wieniawskiego-ID4sI9A,"2 pokoje, taras, komórka, 45 m2, ul. Wieniawskiego","Nowe Rokicie, Górna, Łódź, łódzkie",Górna
2400,2,43.0,56.0,https://www.otodom.pl/pl/oferta/mieszkanie-polesie-ul-falista-43-m2-ID4gjAL,Mieszkanie Polesie ul. Falista 43 m2,"Lublinek, Polesie, Łódź, łódzkie",Polesie
1200,2,42.0,29.0,https://www.otodom.pl/pl/oferta/2-pokoje-polesie-montwila-mireckiego-ID4zcim,2 Pokoje | Polesie | Montwiła-Mireckiego,"Stare Bałuty, Bałuty, Łódź, łódzkie",Bałuty
1800,1,35.6,51.0,https://www.otodom.pl/pl/oferta/kawalerka-z-aneksem-kuchennym-i-umeblowana-i-dostepna-od-zaraz-ID4zchF,Kawalerka z aneksem kuchennym I umeblowana I dostępna od zaraz,"ul. Źródłowa, Helenów, Bałuty, Łódź, łódzkie",Bałuty
2000,1,28.0,71.0,https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-na-nowym-osiedlu-ID45p8e,Atrakcyjna kawalerka na nowym osiedlu,"Nowe Rokicie, Górna, Łódź, łódzkie",Górna
2400,2,37.0,65.0,https://www.otodom.pl/pl/oferta/maestria-park-ul-rabienska-zamkniete-osiedle-ID4zcf0,Maestria Park ul Rąbieńska Zamknięte osiedle,"ul. Rąbieńska, Złotno, Polesie, Łódź, łódzkie",Polesie
2700,2,53.5,50.0,https://www.otodom.pl/pl/oferta/bez-prowizji-nowe-2-pokoje-balkon-parking-ul-kosciuszki-od-zaraz-ID4z0hb,"Bez prowizji, nowe 2 pokoje, balkon, parking, ul. Kościuszki, od zaraz","al. Tadeusza Kościuszki, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
1900,2,42.0,45.0,https://www.otodom.pl/pl/oferta/mieszkanie-z-antresola-lutomierska-162-sllow-loft-ID4bQtf,Mieszkanie z antresolą Lutomierska 162 SLLOW LOFT,"Żubardź, Bałuty, Łódź, łódzkie",Bałuty
1250,1,20.0,62.0,https://www.otodom.pl/pl/oferta/studio-z-balkonem-i-parkingiem-w-cenie-atlas-arena-dworzec-kaliski-ID45Str,"studio z balkonem i parkingiem w cenie, Atlas Arena/Dworzec Kaliski","ul. Bratysławska, Karolew, Polesie, Łódź, łódzkie",Polesie
1900,1,38.0,50.0,https://www.otodom.pl/pl/oferta/scisle-centrum-lodzi-ID4yLX5,Scisle Centrum Łodzi.,"al. Tadeusza Kościuszki, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
2980,3,68.67,43.0,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-oferta-bezposrednia-ID4yjOF,"Mieszkanie 3 pokojowe, OFERTA BEZPOŚREDNIA","ul. Składowa, Fabryczna, Śródmieście, Łódź, łódzkie",Śródmieście
