price,n_rooms,area,price_per_m2,link,title,address,district
2500,2,50.0,50.0,https://www.otodom.pl/pl/oferta/2-pokoje-ul-telefoniczna-50m2-balkon-ID4sRls,2 pokoje / ul. telefoniczna /50m2/ balkon,"ul. Telefoniczna, Sikawa, Widzew, Łódź, łódzkie",Widzew
6000,3,64.0,94.0,https://www.otodom.pl/pl/oferta/3-pok-64-m2-solaris-tuwima-15-taras-ID4srED,"3-pok. 64 m2, Solaris, Tuwima 15, taras","ul. Juliana Tuwima, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
1900,1,35.0,54.0,https://www.otodom.pl/pl/oferta/kawalerka-35-m2-przy-ul-targowej-53c-ID4sdHG,"Kawalerka 35 m2, przy ul. Targowej 53C","ul. Targowa, Księży Młyn, Widzew, Łódź, łódzkie",Widzew
3500,2,60.0,58.0,https://www.otodom.pl/pl/oferta/dwupokojowy-loft-przy-ul-tymienieckiego-ID4rZcB,Dwupokojowy loft przy ul. Tymienieckiego,"ul. ks. bp. Wincentego Tymienieckiego, Księży Młyn, Widzew, Łódź, łódzkie",Widzew
2000,2,56.64,35.0,https://www.otodom.pl/pl/oferta/mieszkanie-w-zielonej-czesci-lodzi-ID4rtBG,Mieszkanie w zielonej części Łodzi,"ul. Odolanowska, Żubardź, Bałuty, Łódź, łódzkie",Bałuty
1800,1,35.0,51.0,https://www.otodom.pl/pl/oferta/kawalerka-ul-rembielinskiego-ID4qjO1,"Kawalerka, ul. Rembielińskiego!","ul. Rajmunda Rembielińskiego, Politechniczna, Polesie, Łódź, łódzkie",Polesie
1300,2,38.0,34.0,https://www.otodom.pl/pl/oferta/2-pokoje-ul-turoszowska-38-m2-ID4pJ9s,"2 pokoje, ul. Turoszowska, 38 m2","ul. Turoszowska, Żabieniec, Bałuty, Łódź, łódzkie",Bałuty
1300,1,19.24,68.0,https://www.otodom.pl/pl/oferta/lodz-srodmiescie-radwanska-12-kawalerka-19-24-m2-ID4q0BL,"Łódź-Śródmieście, Radwańska 12, kawalerka 19,24 m2","ul. Radwańska, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
1800,2,41.06,44.0,https://www.otodom.pl/pl/oferta/polesie-ul-walerego-wroblewskiego-21a-2pokoje-ID4q08C,"Polesie, ul. Walerego Wróblewskiego 21A, 2pokoje","ul. Walerego Wróblewskiego, Politechniczna, Polesie, Łódź, łódzkie",Polesie
2300,2,50.0,46.0,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-ul-borowieckiego-ID4psPZ,Dwupokojowe mieszkanie ul .Borowieckiego,"Borowieckiego, Olechów, Widzew, Łódź, łódzkie",Widzew
1499,1,25.0,60.0,https://www.otodom.pl/pl/oferta/nowa-kawalerka-bezposrednio-dobra-lokalizacja-ID4o8Lh,Nowa Kawalerka! Bezpośrednio! Dobra Lokalizacja!!!,"ul. Piekarska, Stare Bałuty, Bałuty, Łódź, łódzkie",Bałuty
2200,3,62.53,35.0,https://www.otodom.pl/pl/oferta/widzew-ul-sarnia-3-3-pokoje-62-53-m2-ID4nNTw,"Widzew, ul. Sarnia 3, 3 pokoje 62,53 m2","ul. Sarnia, Stary Widzew, Widzew, Łódź, łódzkie",Widzew
1290,1,37.0,35.0,https://www.otodom.pl/pl/oferta/kawalerka-ul-chryzantem-37-m2-ID4nC6D,"Kawalerka, ul. Chryzantem, 37 m2","al. Chryzantem, Marysin Doły, Bałuty, Łódź, łódzkie",Bałuty
1800,1,45.87,39.0,https://www.otodom.pl/pl/oferta/lodz-ul-orzechowa-3-kawalerka-45m2-zdrowie-ID4nq2U,Łódź ul. Orzechowa 3 - kawalerka 45m2 Zdrowie,"ul. Orzechowa, Zdrowie, Polesie, Łódź, łódzkie",Polesie
