price,n_rooms,area,price_per_m2,link,title,address,district
3400,2,37.0,92.0,https://www.otodom.pl/pl/oferta/widokowe-2-pok-z-balkonem-wynajem-ID4yYid,widokowe 2 pok.z balkonem/wynajem,"Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",Prądnik Biały
3000,2,43.0,70.0,https://www.otodom.pl/pl/oferta/bez-prowizji-klima-miejsce-post-w-cenie-ID4z89N,Bez prowizji | Klima | Miejsce post. w cenie,"Osiedle Piastów, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",Mistrzejowice
2200,2,35.0,63.0,https://www.otodom.pl/pl/oferta/mieszkanie-dla-singla-lub-pary-os-oswiecenia-ID4znml,"Mieszkanie dla singla lub pary, Os. Oświecenia","os. Oświecenia, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",Mistrzejowice
1800,1,32.0,56.0,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-blisko-centrum-idealne-dla-singla-ID4zcEj,1 pokojowe mieszkanie blisko centrum| Idealne dla singla,"ul. Michała Siedleckiego, Grzegórzki, Grzegórzki, Kraków, małopolskie",Grzegórzki
2300,1,36.5,63.0,https://www.otodom.pl/pl/oferta/wyjatkowo-komfortowa-garsoniera-na-alei-pokoju-ID4zc5r,Wyjątkowo komfortowa garsoniera na Alei Pokoju,"Łęg, Czyżyny, Kraków, małopolskie",Czyżyny
2500,2,47.0,53.0,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-z-balkonem-i-miejscem-parkingowym-ID4zc57,Mieszkanie 47 m² z balkonem i miejscem parkingowym,"Mistrzejowice, Mistrzejowice, Kraków, małopolskie",Mistrzejowice
2199,1,35.0,63.0,https://www.otodom.pl/pl/oferta/pradnik-czerwony-35m2-klimatyzacja-balkon-ID4znlz,"Prądnik Czerwony, 35m2, klimatyzacja, balkon","ul. Henryka Wieniawskiego, Olsza, Prądnik Czerwony, Kraków, małopolskie",Prądnik Czerwony
3800,2,57.0,67.0,https://www.otodom.pl/pl/oferta/tuz-przy-wisle-prywatny-taras-nadwislanska-ID4znl8,Tuż przy Wiśle | prywatny taras | Nadwiślańska,"ul. Nadwiślańska 11, Stare Podgórze, Podgórze, Kraków, małopolskie",Podgórze
5999,3,60.0,100.0,https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-wisle-60m2-pets-eng-ID4znlb,Apartament z widokiem na Wisłę | 60m2 | pets |ENG,"Grzegórzki, Grzegórzki, Kraków, małopolskie",Grzegórzki
4200,4,100.0,42.0,https://www.otodom.pl/pl/oferta/lux-3bed-szuwarowa-ruczaj-shell-motorola-ID4jAro,Lux|3Bed| Szuwarowa| Ruczaj| Shell Motorola|,"ul. Szuwarowa, Ruczaj, Dębniki, Kraków, małopolskie",Dębniki
6000,3,96.0,62.0,https://www.otodom.pl/pl/oferta/drukarnia-narodowa-3-pokoje-parking-old-town-ID4y4nP,Drukarnia Narodowa - 3 pokoje - Parking - Old Town,"ul. Marszałka Józefa Piłsudskiego, Nowy Świat, Stare Miasto, Kraków, małopolskie",Stare Miasto
2899,3,50.0,58.0,https://www.otodom.pl/pl/oferta/3-pokoje-50m2-pachonskiego-epam-galileo-ID4znjf,3 pokoje 50m2 Pachońskiego EPAM GALILEO,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",Prądnik Biały
3000,2,52.0,58.0,https://www.otodom.pl/pl/oferta/2-pokoje-kuchnia-grzegorzki-mpec-ID4z71D,2 pokoje + kuchnia - Grzegórzki - mpec,"ul. płk. Francesco Nullo, Grzegórzki, Grzegórzki, Kraków, małopolskie",Grzegórzki
2700,2,60.0,45.0,https://www.otodom.pl/pl/oferta/kordiana-kurdwanow-2pok-ID4zflH,Kordiana- Kurdwanów-2pok,"ul. Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
2500,2,40.0,62.0,https://www.otodom.pl/pl/oferta/funkcjonalne-z-aneksem-kuchennym-i-balkonem-ID4z0Yg,Funkcjonalne z aneksem kuchennym i balkonem,"ul. Borkowska, Kliny, Swoszowice, Kraków, małopolskie",Swoszowice
3400,3,61.5,55.0,https://www.otodom.pl/pl/oferta/3-pokoje-i-2-balkony-i-miejsce-postojowe-i-wola-duchacka-ID4yYRZ,3 pokoje I 2 balkony I Miejsce postojowe I Wola Duchacka,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
5000,2,43.5,115.0,https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-wawel-standard-premium-ID4yzzW,Apartament z widokiem na Wawel - standard PREMIUM,"Dębniki, Dębniki, Kraków, małopolskie",Dębniki
5000,2,43.5,115.0,https://www.otodom.pl/pl/oferta/luksusowy-apartament-z-widokiem-na-wawel-centrum-ID4yzzZ,Luksusowy Apartament z widokiem na Wawel - CENTRUM,"Dębniki, Dębniki, Kraków, małopolskie",Dębniki
3300,2,51.0,65.0,https://www.otodom.pl/pl/oferta/wlodkowica-51m2-komfortowe-dwa-pokoje-tauron-arena-ID4ykK3,Włodkowica 51m2 komfortowe dwa pokoje Tauron Arena,"ul. Pawła Włodkowica, Rakowice, Prądnik Czerwony, Kraków, małopolskie",Prądnik Czerwony
